                                  Package    Version
abind                               abind      1.4-5
airports                         airports      0.1.0
annotate                         annotate     1.76.0
AnnotationDbi               AnnotationDbi     1.60.0
AnnotationFilter         AnnotationFilter     1.22.0
apeglm                             apeglm     1.20.0
arrow                               arrow     10.0.1
askpass                           askpass        1.1
assertthat                     assertthat      0.2.1
astrochron                     astrochron        1.1
babelgene                       babelgene       22.9
babynames                       babynames      1.0.1
backports                       backports      1.4.1
base64enc                       base64enc      0.1-3
BayesLCA                         BayesLCA        1.9
bbmle                               bbmle     1.0.25
bdsmatrix                       bdsmatrix      1.3-6
BH                                     BH   1.78.0-0
bigD                                 bigD      0.2.0
Biobase                           Biobase     2.58.0
biobroom                         biobroom     1.30.0
BiocFileCache               BiocFileCache      2.6.0
BiocGenerics                 BiocGenerics     0.44.0
BiocIO                             BiocIO      1.8.0
BiocManager                   BiocManager    1.30.19
BiocParallel                 BiocParallel     1.32.5
BiocVersion                   BiocVersion     3.16.0
biomaRt                           biomaRt     2.54.0
Biostrings                     Biostrings     2.66.0
bit                                   bit      4.0.5
bit64                               bit64      4.0.5
bitops                             bitops      1.0-7
bladderbatch                 bladderbatch     1.36.0
blob                                 blob      1.2.3
blogdown                         blogdown       1.16
bookdown                         bookdown       0.31
brew                                 brew      1.0-8
brio                                 brio      1.1.3
broom                               broom      1.0.2
broom.mixed                   broom.mixed    0.2.9.4
bslib                               bslib      0.4.2
cachem                             cachem      1.0.6
callr                               callr      3.7.3
car                                   car      3.1-1
carData                           carData      3.0-5
caret                               caret     6.0-93
caTools                           caTools     1.18.2
cellranger                     cellranger      1.1.0
checkmate                       checkmate      2.1.0
cherryblossom               cherryblossom      0.1.0
circlize                         circlize     0.4.15
classInt                         classInt      0.4-8
cli                                   cli      3.6.0
clipr                               clipr      0.8.0
clock                               clock      0.6.1
clue                                 clue     0.3-63
coda                                 coda     0.19-4
coin                                 coin      1.4-2
colorspace                     colorspace      2.0-3
commonmark                     commonmark      1.8.1
ComplexHeatmap             ComplexHeatmap     2.14.0
conflicted                     conflicted      1.1.0
corrplot                         corrplot       0.92
covr                                 covr      3.6.1
cowplot                           cowplot      1.1.1
cpp11                               cpp11      0.4.3
crayon                             crayon      1.5.2
credentials                   credentials      1.3.2
crosstalk                       crosstalk      1.2.0
curl                                 curl      4.3.3
data.table                     data.table     1.14.6
DBI                                   DBI      1.1.3
dbplyr                             dbplyr      2.2.1
DelayedArray                 DelayedArray     0.24.0
deldir                             deldir      1.0-6
dendextend                     dendextend     1.16.0
Deriv                               Deriv      4.1.3
desc                                 desc      1.4.2
DESeq2                             DESeq2     1.38.2
