                              Package    Version
arrow                           arrow     10.0.1
askpass                       askpass        1.1
assertthat                 assertthat      0.2.1
astrochron                 astrochron        1.1
babynames                   babynames      1.0.1
backports                   backports      1.4.1
base64enc                   base64enc      0.1-3
BayesLCA                     BayesLCA        1.9
BH                                 BH   1.78.0-0
BiocManager               BiocManager    1.30.19
bit                               bit      4.0.5
bit64                           bit64      4.0.5
bitops                         bitops      1.0-7
blob                             blob      1.2.3
blogdown                     blogdown       1.16
bookdown                     bookdown       0.31
brew                             brew      1.0-8
brio                             brio      1.1.3
broom                           broom      1.0.2
broom.mixed               broom.mixed    0.2.9.4
bslib                           bslib      0.4.2
cachem                         cachem      1.0.6
callr                           callr      3.7.3
caret                           caret     6.0-93
caTools                       caTools     1.18.2
cellranger                 cellranger      1.1.0
checkmate                   checkmate      2.1.0
classInt                     classInt      0.4-8
cli                               cli      3.5.0
clipr                           clipr      0.8.0
clock                           clock      0.6.1
coda                             coda     0.19-4
coin                             coin      1.4-2
colorspace                 colorspace      2.0-3
commonmark                 commonmark      1.8.1
conflicted                 conflicted      1.1.0
corrplot                     corrplot       0.92
covr                             covr      3.6.1
cowplot                       cowplot      1.1.1
cpp11                           cpp11      0.4.3
crayon                         crayon      1.5.2
credentials               credentials      1.3.2
curl                             curl      4.3.3
data.table                 data.table     1.14.6
DBI                               DBI      1.1.3
dbplyr                         dbplyr      2.2.1
deldir                         deldir      1.0-6
Deriv                           Deriv      4.1.3
desc                             desc      1.4.2
devtools                     devtools      2.4.5
DiagrammeR                 DiagrammeR      1.0.9
dials                           dials      1.1.0
DiceDesign                 DiceDesign        1.9
diffobj                       diffobj      0.3.5
digest                         digest     0.6.31
distill                       distill        1.5
docopt                         docopt      0.7.1
doParallel                 doParallel     1.0.17
dotCall64                   dotCall64      1.0-2
downlit                       downlit      0.4.2
downloader                 downloader        0.4
dplyr                           dplyr     1.0.10
dtplyr                         dtplyr      1.2.2
duckdb                         duckdb      0.6.1
e1071                           e1071     1.7-12
economiccomplexity economiccomplexity      1.4.0
ellipsis                     ellipsis      0.3.2
evaluate                     evaluate       0.19
fansi                           fansi      1.0.3
farver                         farver      2.1.1
fastmap                       fastmap      1.1.0
fields                         fields       14.1
fontawesome               fontawesome      0.4.0
forcats                       forcats      0.5.2
foreach                       foreach      1.5.2
Formula                       Formula      1.2-4
formula.tools           formula.tools      1.7.1
fs                                 fs      1.5.2
fst                               fst      0.9.8
fstcore                       fstcore     0.9.12
furrr                           furrr      0.3.1
future                         future     1.30.0
future.apply             future.apply     1.10.0
gapminder                   gapminder      0.3.0
gargle                         gargle      1.2.1
generics                     generics      0.1.3
gert                             gert      1.9.2
GGally                         GGally      2.1.2
ggforce                       ggforce      0.4.1
ggformula                   ggformula     0.10.2
gglm                             gglm      1.0.0
ggplot2                       ggplot2      3.4.0
ggrepel                       ggrepel      0.9.2
ggridges                     ggridges      0.5.4
ggstance                     ggstance      0.3.6
gh                                 gh      1.3.1
gitcreds                     gitcreds      0.1.2
glmnet                         glmnet      4.1-6
globals                       globals     0.16.2
glue                             glue      1.6.2
googledrive               googledrive      2.0.0
googlesheets4           googlesheets4      1.0.1
gower                           gower      1.0.1
GPfit                           GPfit      1.0-8
gridExtra                   gridExtra        2.3
gtable                         gtable      0.3.1
hardhat                       hardhat      1.2.0
haven                           haven      2.5.1
highr                           highr        0.9
Hmisc                           Hmisc      4.7-2
hms                               hms      1.1.2
htmlTable                   htmlTable      2.4.1
htmltools                   htmltools      0.5.4
htmlwidgets               htmlwidgets      1.6.0
httpuv                         httpuv      1.6.7
httr                             httr      1.4.4
IDPmisc                       IDPmisc     1.1.20
ids                               ids      1.0.1
igraph                         igraph      1.3.5
infer                           infer      1.0.4
influenceR                 influenceR    0.1.0.1
ini                               ini      0.3.1
inline                         inline     0.3.19
interp                         interp      1.1-3
ipred                           ipred     0.9-13
isoband                       isoband      0.2.7
iterators                   iterators     1.0.14
janitor                       janitor      2.1.0
jpeg                             jpeg     0.1-10
jquerylib                   jquerylib      0.1.4
jsonlite                     jsonlite      1.8.4
knitr                           knitr       1.41
labeling                     labeling      0.4.2
labelled                     labelled     2.10.0
